Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Path to Exile,Commander,25,Near Mint,English,,,,,,,,
2,0,Path to Exile,Conflux,15,Near Mint,English,,,,,,,,
2,0,Peer Through Depths,Modern Masters,57,Near Mint,English,,,,,,,,
2,0,Pentavus,Duel Decks: Elspeth vs. Tezzeret,58,Near Mint,English,,,,,,,,
2,0,Pestermite,Modern Masters,59,Near Mint,English,,,,,,,,
4,0,Phantasmal Image,Magic 2012,72,Near Mint,English,,,,,,,,
1,1,Phantasmal Image,Magic 2012,72,Near Mint,Chinese,,,,,,,,0
3,3,Phylactery Lich,Magic 2011,110,Near Mint,Chinese,,,,,,,,
1,0,Phylactery Lich,Magic 2011,110,Near Mint,English,,,,,,,,0
1,0,Phyrexian Etchings,Coldsnap,67,Near Mint,English,,,,,,,,
4,0,Phyrexian Hydra,Mirrodin Besieged,85,Near Mint,English,,,,,,,,
1,0,Phyrexian Ingester,New Phyrexia,41,Near Mint,English,,,,,,,,
1,0,Phyrexian Metamorph,New Phyrexia,42,Near Mint,English,,,,,,,,
1,0,Phyrexian Revoker,Mirrodin Besieged,122,Near Mint,English,,,,,,,,
1,0,Phyrexian Soulgorger,Coldsnap,141,Near Mint,English,,,,,,,,
1,0,Phyrexian Swarmlord,New Phyrexia,119,Near Mint,English,,,,,,,,
2,0,Phyrexian Vatmother,Mirrodin Besieged,52,Near Mint,English,,,,,,,,
2,0,Pithing Needle,Return to Ravnica,231,Near Mint,English,,,,,,,,
1,0,Plague of Vermin,Shadowmoor,73,Near Mint,Japanese,,,,,,,,
1,0,Plague Stinger,WPN/Gateway,59,Near Mint,English,foil,,,,,,,
2,0,Plumeveil,Shadowmoor,145,Near Mint,English,,,,,,,,
1,0,Polluted Bonds,Shadowmoor,74,Near Mint,Japanese,,,,,,,,
1,0,Polluted Mire,Premium Deck Series: Graveborn,26,Near Mint,English,foil,,,,,,,
1,0,Polymorph,Mirage,82,Near Mint,English,,,,,,,,
1,0,Polymorph,Ninth Edition,90,Near Mint,English,,,,,,,,
1,0,Polymorph,Magic 2010,67,Near Mint,English,,,,,,,,
1,0,Polymorphous Rush,Journey into Nyx,46,Near Mint,English,,,,,,,,
1,0,Possibility Storm,Dragon's Maze,34,Near Mint,English,foil,,,,,,,
2,0,Praetor's Grasp,New Phyrexia,71,Near Mint,English,,,,,,,,
3,3,Precinct Captain,Duel Decks: Elspeth vs. Kiora,22,Near Mint,English,,,,,,,,0
3,0,Precinct Captain,Return to Ravnica,17,Near Mint,English,,,,,,,,
4,0,Precursor Golem,Scars of Mirrodin,194,Near Mint,English,,,,,,,,
1,0,Prey Upon,Magic 2013,181,Near Mint,English,foil,,,,,,,
1,0,Profane Command,Lorwyn,135,Near Mint,English,,,,,,,,
1,0,Progenitus,From the Vault: Legends,9,Near Mint,English,foil,,,,,,,
1,0,Protean Hulk,Dissension,90,Near Mint,English,,,,,,,,
1,0,Protean Hydra,Magic 2011,194,Near Mint,English,,,,,,,,
1,0,Psychic Intrusion,Theros,200,Near Mint,English,,,,,,,,
1,0,Psychic Surgery,New Phyrexia,44,Near Mint,English,,,,,,,,
3,0,Putrefax,Scars of Mirrodin,126,Near Mint,English,,,,,,,,
2,0,Putrid Imp,Premium Deck Series: Graveborn,1,Near Mint,English,foil,,,,,,,
3,0,Putrid Imp,Torment,77,Near Mint,English,,,,,,,,
1,0,Qasali Pridemage,Alara Reborn,75,Near Mint,English,,,,,,,,
1,0,Quest for the Nihil Stone,Worldwake,64,Near Mint,English,,,,,,,,
3,0,Quest for Ula's Temple,Worldwake,35,Near Mint,English,,,,,,,,
3,3,Quest for Ula's Temple,Worldwake,35,Near Mint,Chinese,,,,,,,,
1,0,Quicken,Magic 2014 Core Set,68,Near Mint,English,,,,,,,,
1,0,Quicksilver Amulet,Magic 2012,214,Near Mint,English,,,,,,,,
1,0,Quicksilver Dragon,Onslaught,103,Near Mint,English,,,,,,,,
1,0,Quilled Slagwurm,Mirrodin Besieged,89,Near Mint,English,foil,,,,,,,
1,0,Racecourse Fury,Return to Ravnica,104,Near Mint,English,foil,,,,,,,
1,0,Rack and Ruin,Urza's Legacy,89,Near Mint,English,,,,,,,,
1,0,Rage Reflection,Shadowmoor,104,Near Mint,Japanese,,,,,,,,
2,0,Raging Ravine,Worldwake,141,Near Mint,English,,,,,,,,
1,0,Rakdos Cackler,Return to Ravnica,220,Near Mint,English,foil,,,,,,,
1,0,Rally the Peasants,Innistrad,28,Near Mint,English,foil,,,,,,,
7,0,Rancor,Magic 2013,185,Near Mint,English,,,,,,,,
3,0,Raven's Crime,Eventide,41,Near Mint,English,,,,,,,,
2,0,Ravenous Demon,Dark Ascension,71,Near Mint,English,,,,,,,,
1,0,Reality Spasm,Rise of the Eldrazi,81,Near Mint,English,,,,,,,,
3,0,Realms Uncharted,Rise of the Eldrazi,206,Near Mint,English,,,,,,,,
1,0,Reaper from the Abyss,Innistrad,112,Near Mint,English,,,,,,,,
1,0,Reaper King,Shadowmoor,260,Near Mint,Japanese,,,,,,,,
1,1,Reaper of the Wilds,Duel Decks: Jace vs. Vraska,63,Near Mint,English,,,,,,,,0
2,0,Recoil,Duel Decks: Ajani vs. Nicol Bolas,61,Near Mint,English,,,,,,,,
2,0,Recurring Insight,Rise of the Eldrazi,82,Near Mint,English,,,,,,,,
4,0,Red Elemental Blast,Revised Edition,170,Near Mint,English,,,,,,,,
1,0,Red Sun's Zenith,Mirrodin Besieged,74,Near Mint,English,foil,,,,,,,
2,0,Red Sun's Zenith,Mirrodin Besieged,74,Near Mint,English,,,,,,,,
1,0,Redirect,Magic 2013,64,Near Mint,English,,,,,,,,
1,0,Reiver Demon,Commander,95,Near Mint,English,,,,,,,,
1,0,Relic of Progenitus,Shards of Alara,218,Near Mint,English,,,,,,,,
4,0,Repercussion,Urza's Destiny,95,Near Mint,English,,,,,,,,
3,0,Rest in Peace,Return to Ravnica,18,Near Mint,English,,,,,,,,
2,0,Restoration Angel,Avacyn Restored,32,Near Mint,English,,,,,,,,
1,0,Reveillark,Modern Masters,26,Near Mint,English,,,,,,,,
2,0,Reverberate,Premium Deck Series: Fire and Lightning,20,Near Mint,English,foil,,,,,,,
4,2,Reverberate,Magic 2011,155,Near Mint,English,,,,,,,,0
1,0,Rift Bolt,Modern Masters,126,Near Mint,English,foil,,,,,,,
1,0,Rift Elemental,Modern Masters,127,Near Mint,English,foil,,,,,,,
2,0,Rimefeather Owl,Coldsnap,42,Near Mint,English,,,,,,,,
4,0,Riptide Laboratory,Onslaught,322,Near Mint,English,,,,,,,,
5,0,Rite of Flame,Coldsnap,96,Near Mint,English,,,,,,,,
1,0,"Rith, the Awakener",Duel Decks: Phyrexia vs. the Coalition,48,Near Mint,English,,,,,,,,
1,0,River Kelpie,Shadowmoor,49,Near Mint,Japanese,,,,,,,,
1,0,River Kelpie,Shadowmoor,49,Near Mint,English,,,,,,,,
1,0,River of Tears,Future Sight,179,Near Mint,English,,,,,,,,
2,0,Roil Elemental,Zendikar,62,Near Mint,English,,,,,,,,
1,0,Rootbound Crag,Premium Deck Series: Slivers,32,Near Mint,English,,,,,,,,
1,0,Rootbound Crag,Magic 2010,227,Near Mint,English,,,,,,,,
1,0,Rootbound Crag,Magic 2013,228,Near Mint,English,,,,,,,,
1,0,Rootwater Matriarch,Tenth Edition,103,Near Mint,English,,,,,,,,
1,0,Royal Assassin,Magic 2011,116,Near Mint,English,,,,,,,,
1,0,Royal Assassin,Magic 2012,105,Near Mint,English,,,,,,,,
1,0,Rubblebelt Raiders,Gatecrash,224,Near Mint,English,,,,,,,,
1,0,Rune-Scarred Demon,Magic 2012,106,Near Mint,English,foil,,,,,,,
2,0,Rune-Scarred Demon,Magic 2012,106,Near Mint,English,,,,,,,,
1,0,Rustic Clachan,Duel Decks: Elspeth vs. Tezzeret,34,Near Mint,English,,,,,,,,
1,0,Sacred Wolf,Magic 2012,194,Near Mint,English,foil,,,,,,,
1,0,Safehold Sentry,Shadowmoor,22,Near Mint,English,foil,,,,,,,
1,0,Sage of Hours,Journey into Nyx,50,Near Mint,English,,,,,,,,
1,0,Salvage Titan,Shards of Alara,84,Near Mint,English,,,,,,,,
1,0,Sands of Delirium,Magic 2013,216,Near Mint,English,,,,,,,,
1,0,Sandsower,Modern Masters,29,Near Mint,English,foil,,,,,,,
1,0,Sapphire Drake,Gatecrash,47,Near Mint,English,foil,,,,,,,
1,0,Sarkhan the Mad,Rise of the Eldrazi,214,Near Mint,English,,,,,,,,
4,0,Sarkhan Vol,Shards of Alara,191,Near Mint,English,,,,,,,,
4,0,Savage Lands,Shards of Alara,228,Near Mint,English,,,,,,,,
3,0,Scalding Tarn,Zendikar,223,Near Mint,English,,,,,,,,
1,0,Scattershot Archer,Conflux,90,Near Mint,English,foil,,,,,,,
1,0,Scion of Oona,Modern Masters,63,Near Mint,English,,,,,,,,
1,0,Scorch the Fields,Dark Ascension,103,Near Mint,English,foil,,,,,,,
1,0,Scorned Villager,Dark Ascension,125,Near Mint,English,foil,,,,,,,
2,0,Search for Tomorrow,Modern Masters,161,Near Mint,English,,,,,,,,
1,0,Search for Tomorrow,Modern Masters,161,Near Mint,English,foil,,,,,,,
1,0,Searing Meditation,Ravnica: City of Guilds,226,Near Mint,English,,,,,,,,
1,0,Seat of the Synod,Duel Decks: Elspeth vs. Tezzeret,74,Near Mint,English,,,,,,,,
2,0,Seat of the Synod,Planechase,136,Near Mint,English,,,,,,,,
1,0,Sedraxis Alchemist,Conflux,54,Near Mint,English,foil,,,,,,,
4,0,Seething Song,Mirrodin,104,Near Mint,English,,,,,,,,
1,0,Seize the Soul,Guildpact,61,Near Mint,English,,,,,,,,
4,0,Sejiri Merfolk,Worldwake,36,Near Mint,English,,,,,,,,
1,1,Sensei's Divining Top,Champions of Kamigawa,268,Near Mint,Spanish,,,,,,,,0
1,0,Sensor Splicer,New Phyrexia,22,Near Mint,English,foil,,,,,,,
1,0,Serra Avatar,Commander 2013,21,Near Mint,English,,,,,,,,
1,0,Shadowfeed,Shards of Alara,86,Near Mint,English,foil,,,,,,,
1,0,Shambling Vent,Battle for Zendikar,244,Near Mint,English,,,,,,,,
1,0,Shape Anew,Scars of Mirrodin,43,Near Mint,English,,,,,,,,
1,0,Sharuum the Hegemon,From the Vault: Legends,11,Near Mint,English,foil,,,,,,,
1,0,Shattered Angel,New Phyrexia,23,Near Mint,English,foil,,,,,,,
1,1,Shriekmaw,Commander 2015,137,Near Mint,English,,,,,,,,
6,0,Shriekmaw,Lorwyn,139,Near Mint,English,,,,,,,,
2,0,Shrine of Burning Rage,New Phyrexia,153,Near Mint,English,,,,,,,,
2,0,Sickening Dreams,Premium Deck Series: Graveborn,18,Near Mint,English,foil,,,,,,,
1,0,"Sidisi, Undead Vizier",Dragons of Tarkir,120,Near Mint,English,,,,,,,,
1,0,Siege Dragon,Magic 2015 Core Set,162,Near Mint,English,,,,,,,,
1,0,Sigiled Behemoth,Alara Reborn,79,Near Mint,English,foil,,,,,,,
1,0,Silence,Magic 2010,31,Near Mint,English,,,,,,,,
1,0,Silkwrap,Dragons of Tarkir,38,Near Mint,English,,,,,,,,
4,0,Silverblade Paladin,Avacyn Restored,36,Near Mint,English,,,,,,,,
4,0,Simian Spirit Guide,Planar Chaos,122,Near Mint,English,,,,,,,,
2,0,Simic Guildmage,Dissension,148,Near Mint,English,,,,,,,,
1,0,Skeleton Shard,Planechase,127,Near Mint,English,,,,,,,,
2,0,Skullmulcher,Shards of Alara,148,Near Mint,English,,,,,,,,
1,0,Slag Fiend,New Phyrexia,95,Near Mint,English,foil,,,,,,,
3,0,Slaughter Games,Return to Ravnica,197,Near Mint,English,,,,,,,,
1,0,Snapcaster Mage,Innistrad,78,Near Mint,English,,,,,,,,
1,0,Snapping Creeper,Worldwake,112,Near Mint,English,foil,,,,,,,
2,0,Sol Ring,Commander,261,Near Mint,English,,,,,,,,
1,0,Solemn Simulacrum,Commander,262,Near Mint,English,,,,,,,,
1,0,Solemn Simulacrum,Magic 2012,217,Near Mint,English,,,,,,,,
1,0,Sorin Markov,Zendikar,111,Near Mint,English,,,,,,,,
1,0,Sorin Markov,Zendikar,111,Near Mint,Chinese,,,,,,,,
1,0,"Sorin, Lord of Innistrad",Duel Decks: Sorin vs. Tibalt,1,Near Mint,English,foil,,,,,,,
1,0,Soulflayer,Fate Reforged,84,Near Mint,English,,,,,,,,
4,0,Spark Elemental,Premium Deck Series: Fire and Lightning,4,Near Mint,English,foil,,,,,,,
2,0,Spectral Procession,Duel Decks: Sorin vs. Tibalt,26,Near Mint,English,,,,,,,,
1,0,Spell Snare,Modern Masters,64,Near Mint,English,,,,,,,,
1,0,Spell Snare,Modern Masters,64,Near Mint,English,foil,,,,,,,
1,0,Spellskite,New Phyrexia,159,Near Mint,English,,,,,,,,
2,0,Spellstutter Sprite,Modern Masters,65,Near Mint,English,,,,,,,,
1,0,Spellweaver Volute,Future Sight,59,Near Mint,English,foil,,,,,,,
1,0,Sphinx Ambassador,Magic 2010,73,Near Mint,English,,,,,,,,
2,0,Sphinx of Jwar Isle,Zendikar,68,Near Mint,English,,,,,,,,
4,0,Sphinx of Lost Truths,Zendikar,69,Near Mint,English,,,,,,,,
3,0,Sphinx-Bone Wand,Rise of the Eldrazi,225,Near Mint,English,,,,,,,,
1,0,Spidersilk Net,Zendikar,206,Near Mint,English,foil,,,,,,,
2,0,Spite // Malice,Duel Decks: Ajani vs. Nicol Bolas,71,Near Mint,English,,,,,,,,
1,0,Splatter Thug,Return to Ravnica,105,Near Mint,English,foil,,,,,,,
1,0,Splinter Twin,Rise of the Eldrazi,165,Near Mint,Chinese,,,,,,,,
2,0,Splinter Twin,Rise of the Eldrazi,165,Near Mint,English,,,,,,,,
2,0,Splinterfright,Innistrad,205,Near Mint,English,,,,,,,,
1,0,Sprouting Thrinax,Shards of Alara,197,Near Mint,English,,,,,,,,
2,0,Sprouting Thrinax,Shards of Alara,197,Near Mint,Chinese,,,,,,,,
1,0,"Squee, Goblin Nabob",Modern Masters,130,Near Mint,English,,,,,,,,
1,0,Staff of Nin,Launch Parties,19,Near Mint,English,foil,,,,,,,
1,0,Starstorm,Onslaught,238,Near Mint,English,,,,,,,,
6,0,Steam Vents,Return to Ravnica,247,Near Mint,English,,,,,,,,
1,0,Stensia Bloodhall,Innistrad,247,Near Mint,English,,,,,,,,
2,0,Stinkweed Imp,Modern Masters,98,Near Mint,English,,,,,,,,
2,0,Stomping Ground,Gatecrash,247,Near Mint,English,,,,,,,,
1,1,Stormtide Leviathan,Magic 2011,74,Near Mint,Chinese,,,,,,,,0
2,0,Stormtide Leviathan,Magic 2011,74,Near Mint,English,,,,,,,,0
2,0,Stormtide Leviathan,Magic 2013,70,Near Mint,English,,,,,,,,0
8,0,Strangleroot Geist,Dark Ascension,127,Near Mint,English,,,,,,,,
6,2,Street Wraith,Modern Masters,99,Near Mint,English,,,,,,,,
1,0,Strionic Resonator,Magic 2014 Core Set,224,Near Mint,English,,,,,,,,
3,0,Stuffy Doll,Magic 2013,218,Near Mint,English,,,,,,,,
2,0,Sudden Disappearance,Dark Ascension,23,Near Mint,English,,,,,,,,
2,0,Sudden Impact,Tenth Edition,241,Near Mint,English,foil,,,,,,,
1,0,Suffocating Blast,Apocalypse,124,Near Mint,English,,,,,,,,
1,0,Sulfur Falls,Innistrad,248,Near Mint,English,,,,,,,,
1,0,Sulfuric Vortex,Duel Decks: Sorin vs. Tibalt,68,Near Mint,English,,,,,,,,
1,0,Summoner's Pact,Modern Masters,164,Near Mint,English,,,,,,,,
1,0,Summoning Trap,Zendikar,184,Near Mint,English,,,,,,,,
1,0,Summoning Trap,Zendikar,184,Near Mint,Japanese,,,,,,,,
1,0,Sun Titan,Magic 2012,39,Near Mint,English,,,,,,,,
3,0,Supreme Verdict,Return to Ravnica,201,Good (Lightly Played),English,,,,,,,,
1,0,Surgespanner,Lorwyn,92,Near Mint,English,,,,,,,,
3,0,Surgical Extraction,New Phyrexia,74,Near Mint,English,,,,,,,,
1,0,Surgical Extraction,New Phyrexia,74,Near Mint,English,foil,,,,,,,
1,0,Swan Song,Theros,65,Near Mint,English,,,,,,,,
2,2,Swiftfoot Boots,Magic 2012,219,Near Mint,Chinese,,,,,,,,0
1,0,Swiftfoot Boots,Magic 2012,219,Near Mint,English,,,,,,,,0
1,0,Swords to Plowshares,Conspiracy,84,Near Mint,English,,,,,,,,
1,0,Swords to Plowshares,Ice Age,278,Near Mint,English,,,,,,,,
1,0,"Sygg, River Cutthroat",Shadowmoor,176,Near Mint,English,,,,,,,,
1,0,Sylvan Bounty,Modern Masters,165,Near Mint,English,foil,,,,,,,
1,0,Syphon Life,Modern Masters,100,Near Mint,English,foil,,,,,,,
1,0,Tainted Aether,Urza's Saga,161,Near Mint,English,,,,,,,,
2,0,Tainted Field,Duel Decks: Sorin vs. Tibalt,34,Near Mint,English,,,,,,,,
1,0,"Talrand, Sky Summoner",Magic 2013,72,Near Mint,English,,,,,,,,
4,0,Teetering Peaks,Premium Deck Series: Fire and Lightning,30,Near Mint,English,foil,,,,,,,
2,2,Temple Bell,Magic 2011,217,Near Mint,Chinese,,,,,,,,0
1,0,Temple Bell,Magic 2011,217,Near Mint,English,,,,,,,,0
2,0,Temple Garden,Return to Ravnica,248,Near Mint,English,,,,,,,,
1,0,Temple of Epiphany,Journey into Nyx,164,Near Mint,English,,,,,,,,
1,0,Temur Charm,Khans of Tarkir,208,Near Mint,English,foil,,,,,,,
1,0,Terastodon,Premium Deck Series: Graveborn,7,Near Mint,English,foil,,,,,,,
1,0,Terastodon,Worldwake,115,Near Mint,English,,,,,,,,
1,0,Terminate,Duel Decks: Sorin vs. Tibalt,64,Near Mint,English,,,,,,,,
2,0,Terminate,Planeshift,128,Near Mint,English,,,,,,,,
1,0,Terra Eternal,Worldwake,22,Near Mint,English,,,,,,,,
1,0,Terramorphic Expanse,Modern Masters,224,Near Mint,English,,,,,,,,
2,0,Tezzeret the Seeker,Duel Decks: Elspeth vs. Tezzeret,39,Near Mint,English,,,,,,,,
1,0,Tezzeret the Seeker,Shards of Alara,60,Near Mint,English,,,,,,,,
4,0,"Tezzeret, Agent of Bolas",Mirrodin Besieged,97,Near Mint,English,,,,,,,,
1,0,"Thada Adel, Acquisitor",Worldwake,40,Near Mint,English,,,,,,,,
4,0,"Thalia, Guardian of Thraben",Dark Ascension,24,Near Mint,English,,,,,,,,
2,0,Thespian's Stage,Gatecrash,248,Near Mint,English,,,,,,,,
4,0,Think Twice,Innistrad,83,Near Mint,English,,,,,,,,
3,3,Thirst for Knowledge,Duel Decks: Elspeth vs. Tezzeret,68,Near Mint,English,,,,,,,,0
2,2,Thirst for Knowledge,Modern Masters,67,Near Mint,English,,,,,,,,0
2,0,Thirst for Knowledge,Mirrodin,53,Near Mint,English,,,,,,,,
1,0,Thought Reflection,Shadowmoor,53,Near Mint,Japanese,,,,,,,,
1,0,Thought Reflection,Shadowmoor,53,Near Mint,English,,,,,,,,
5,0,Thoughtseize,Theros,107,Near Mint,English,,,,,,,,
2,0,Thraben Doomsayer,Dark Ascension,25,Near Mint,English,,,,,,,,
1,0,Thran Weaponry,Urza's Legacy,135,Good (Lightly Played),English,,,,,,,,
1,0,"Thrun, the Last Troll",Mirrodin Besieged,92,Near Mint,English,,,,,,,,
2,0,Thunderbolt,Premium Deck Series: Fire and Lightning,19,Near Mint,English,foil,,,,,,,
2,0,Thunderbreak Regent,Dragons of Tarkir,162,Near Mint,English,,,,,,,,
1,0,"Tibalt, the Fiend-Blooded",Duel Decks: Sorin vs. Tibalt,41,Near Mint,English,foil,,,,,,,
2,0,Tidebinder Mage,Magic 2014 Core Set,73,,English,,,,,,,,
1,0,Tidehollow Sculler,Modern Masters,184,Near Mint,English,,,,,,,,
2,0,Tidehollow Sculler,Shards of Alara,202,Near Mint,Chinese,,,,,,,,
1,0,Tidehollow Strix,Shards of Alara,203,Near Mint,English,foil,,,,,,,
1,0,Time Stretch,Odyssey,108,Near Mint,English,,,,,,,,
1,0,Time Warp,Starter 1999,56,Good (Lightly Played),English,,,,,,,,
1,0,Tinder Wall,"",,,,,,,,,,,
2,0,Titanic Ultimatum,Duel Decks: Ajani vs. Nicol Bolas,31,Near Mint,English,,,,,,,,
1,0,Tolaria West,Future Sight,173,Near Mint,Chinese,,,,,,,,
1,0,Tombstalker,Modern Masters,102,Near Mint,English,,,,,,,,
1,0,Tormented Soul,Magic 2013,111,Near Mint,English,foil,,,,,,,
4,0,Tragic Slip,Dark Ascension,76,Near Mint,English,,,,,,,,
1,0,Training Drone,Mirrodin Besieged,142,Near Mint,English,foil,,,,,,,
3,0,Training Grounds,Rise of the Eldrazi,91,Near Mint,English,,,,,,,,
1,0,Transguild Promenade,Return to Ravnica,249,Near Mint,English,foil,,,,,,,
1,0,Trapfinder's Trick,Zendikar,73,Near Mint,English,foil,,,,,,,
1,0,Traumatic Visions,Modern Masters,68,Near Mint,English,foil,,,,,,,
1,0,Treasured Find,Return to Ravnica,204,Near Mint,English,foil,,,,,,,
1,0,Treasury Thrull,Prerelease Events,64,Near Mint,English,foil,,,,,,,
2,0,Tree of Redemption,Innistrad,207,Near Mint,English,,,,,,,,
1,0,Tree of Tales,Mirrodin,285,Near Mint,English,,,,,,,,
1,0,Triskelion,Duel Decks: Elspeth vs. Tezzeret,57,Near Mint,English,,,,,,,,
1,0,Triskelion,Magic 2011,218,Near Mint,English,,,,,,,,
1,0,Tromp the Domains,Modern Masters,171,Near Mint,English,foil,,,,,,,
1,0,True-Name Nemesis,Commander 2013,63,Near Mint,English,,,,,,,,
1,0,Trumpet Blast,Magic 2013,152,Near Mint,English,foil,,,,,,,
1,0,Trygon Predator,Modern Masters,185,Near Mint,English,foil,,,,,,,
1,0,Tsunami,Revised Edition,129,Near Mint,English,,,,,,,,
1,0,Turn the Tide,Mirrodin Besieged,35,Near Mint,English,foil,,,,,,,
1,0,Twilight Drover,Duel Decks: Sorin vs. Tibalt,9,Near Mint,English,,,,,,,,
1,0,Twin Bolt,Dragons of Tarkir,164,Near Mint,English,,,,,,,,
1,0,Twisted Abomination,Premium Deck Series: Graveborn,4,Near Mint,English,foil,,,,,,,
1,0,Twitch,Worldwake,43,Near Mint,English,foil,,,,,,,
1,0,Tyrant of Discord,Avacyn Restored,162,Near Mint,English,,,,,,,,
1,0,"Ulamog, the Infinite Gyre",From the Vault: Legends,14,Near Mint,English,foil,,,,,,,
1,0,"Ulamog, the Infinite Gyre",Rise of the Eldrazi,12,Good (Lightly Played),English,,,,,,,,
2,0,Ulvenwald Tracker,Avacyn Restored,200,Near Mint,English,,,,,,,,
1,0,Umbra Mystic,Rise of the Eldrazi,52,Near Mint,English,foil,,,,,,,
1,0,Umbra Mystic,Rise of the Eldrazi,52,Near Mint,English,,,,,,,,
2,0,Unburial Rites,Innistrad,122,Near Mint,English,,,,,,,,
1,0,Undead Alchemist,Innistrad,84,Near Mint,English,,,,,,,,
2,0,Undermine,Duel Decks: Ajani vs. Nicol Bolas,62,Near Mint,English,,,,,,,,
1,0,Underworld Connections,Return to Ravnica,83,Near Mint,English,,,,,,,,
1,0,Undiscovered Paradise,"",,,,,,,,,,,
1,0,Unexpected Results,Gatecrash,203,Near Mint,English,,,,,,,,
2,0,Unmake,Eventide,96,Near Mint,English,,,,,,,,
1,0,Vaevictis Asmadi,Chronicles,124,Near Mint,English,,,,,,,,
1,0,"Valakut, the Molten Pinnacle",Zendikar,228,Near Mint,English,,,,,,,,
1,0,Valleymaker,Shadowmoor,221,Near Mint,Japanese,,,,,,,,
1,0,Vampire Nighthawk,Duel Decks: Sorin vs. Tibalt,12,Near Mint,English,,,,,,,,
2,0,Vampire Nighthawk,Magic 2013,112,Near Mint,English,,,,,,,,
1,0,Vampire Nocturnus,Magic 2013,113,,English,,,,,,,,
1,0,Vampire Nocturnus,Magic 2013,113,Near Mint,English,,,,,,,,
1,0,Vault of Whispers,Planechase,141,Near Mint,English,,,,,,,,
6,0,Vault of Whispers,Mirrodin,286,Near Mint,English,,,,,,,,
1,0,Vengeful Pharaoh,Magic 2012,116,Near Mint,English,,,,,,,,
1,0,"Venser, the Sojourner",Duel Decks: Venser vs. Koth,1,Near Mint,English,foil,,,,,,,
2,0,"Venser, the Sojourner",Scars of Mirrodin,135,Near Mint,English,,,,,,,,
1,0,Verdant Catacombs,Zendikar,229,Near Mint,English,,,,,,,,
1,0,Verdant Force,Premium Deck Series: Graveborn,8,Near Mint,English,foil,,,,,,,
1,0,Veteran Armorer,Modern Masters,34,Near Mint,English,foil,,,,,,,
2,0,Vexing Shusher,Shadowmoor,222,Near Mint,Japanese,,,,,,,,
1,0,Vexing Sphinx,Coldsnap,50,Near Mint,English,,,,,,,,
1,0,Victory's Herald,Mirrodin Besieged,18,Near Mint,English,,,,,,,,
1,0,Vile Rebirth,Magic 2013,115,Near Mint,English,foil,,,,,,,
1,0,Violent Ultimatum,Shards of Alara,206,Near Mint,English,foil,,,,,,,
1,0,Visara the Dreadful,From the Vault: Legends,15,Near Mint,English,foil,,,,,,,
1,1,Visions of Beyond,Magic 2012,80,Near Mint,Chinese,foil,,,,,,,
3,0,Visions of Beyond,Magic 2012,80,Near Mint,English,,,,,,,,
1,0,Vithian Stinger,Shards of Alara,120,Near Mint,English,foil,,,,,,,
1,0,Vivid Crag,Modern Masters,225,Near Mint,English,,,,,,,,
1,0,Vivid Creek,Modern Masters,226,Near Mint,English,,,,,,,,
1,0,Vivid Grove,Modern Masters,227,Near Mint,English,,,,,,,,
2,0,Vivid Marsh,Modern Masters,228,Near Mint,English,,,,,,,,
1,0,Vivid Marsh,Lorwyn,278,Near Mint,English,,,,,,,,
1,0,Vivid Meadow,Commander,297,Near Mint,English,,,,,,,,
1,0,Vivid Meadow,Modern Masters,229,Near Mint,English,,,,,,,,
2,0,Void Maw,Coldsnap,74,Near Mint,English,,,,,,,,
1,0,Volatile Rig,Return to Ravnica,236,Near Mint,English,,,,,,,,
3,0,Volcanic Island,Revised Edition,306,Played,English,,,,,,,,
3,0,Vraska the Unseen,Return to Ravnica,208,Near Mint,English,,,,,,,,
1,0,Vulshok Heartstoker,Scars of Mirrodin,107,Near Mint,English,foil,,,,,,,
2,0,Vulshok Sorcerer,Premium Deck Series: Fire and Lightning,11,Near Mint,English,foil,,,,,,,
4,0,Wall of Blossoms,Stronghold,75,Near Mint,English,,,,,,,,
1,0,Wall of Omens,Duel Decks: Sorin vs. Tibalt,4,Near Mint,English,,,,,,,,
5,0,Wall of Omens,Commander,37,Near Mint,English,,,,,,,,
1,1,Wall of Reverence,Conflux,20,Near Mint,Chinese,,,,,,,,0
1,0,Warp World,Magic 2010,163,Near Mint,English,,,,,,,,
2,2,Warren Instigator,Zendikar,154,Near Mint,Chinese,,,,,,,,0
1,1,Warstorm Surge,Magic 2012,160,Near Mint,Chinese,,,,,,,,
3,0,Watery Grave,Gatecrash,249,Near Mint,English,,,,,,,,
1,0,Wayfaring Temple,Return to Ravnica,209,Near Mint,English,,,,,,,,
2,0,Wear // Tear,Dragon's Maze,135,Near Mint,English,,,,,,,,
1,0,Wheel of Fortune,Revised Edition,184,,,,,,,,,,
1,0,Wheel of Sun and Moon,Shadowmoor,243,Near Mint,Japanese,,,,,,,,
1,1,Whelming Wave,Duel Decks: Elspeth vs. Kiora,44,Near Mint,English,,,,,,,,0
1,0,Whelming Wave,Born of the Gods,57,Near Mint,English,,,,,,,,
1,0,Whispering Specter,New Phyrexia,77,Near Mint,English,foil,,,,,,,
1,0,Wild Evocation,Magic 2011,160,Near Mint,English,,,,,,,,
2,0,Wild Nacatl,Duel Decks: Ajani vs. Nicol Bolas,4,Near Mint,English,,,,,,,,
